time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
1891,11.91,2,160,0.8203550000000002,0.91,664,0.0001,222,1.3086528778076172
1949,11.87,2,164,0.8148449999999999,0.87,684,0.0001,237,1.6203243732452393
2008,11.94,2,168,0.8092400000000002,0.94,704,0.0001,251,0.6481243371963501
2058,12.13,2,172,0.8044899999999996,1.13,721,0.0001,264,0.005872183945029974
2089,12.12,2,176,0.8015450000000004,1.12,734,0.0001,272,0.6505380272865295
2166,12.34,2,180,0.7942299999999999,1.34,758,0.0001,291,0.33844488859176636
2202,12.2,2,184,0.7908099999999996,1.2,772,0.0001,300,0.33135098218917847
2274,11.92,2,188,0.7839700000000002,0.92,795,0.0001,318,0.6543282270431519
2309,11.67,2,192,0.7806449999999995,0.67,808,0.0001,327,0.642500638961792
2369,11.91,2,196,0.7749450000000001,0.91,828,0.0001,342,2.2171759605407715
2457,12.44,2,200,0.7665850000000002,1.44,856,0.0001,364,1.9430766105651855
2493,12.47,2,204,0.763165,1.47,869,0.0001,373,0.3166930675506592
2566,12.85,2,208,0.7562299999999998,1.85,892,0.0001,391,1.5395135879516602
2598,12.64,2,212,0.75319,1.64,905,0.0001,399,0.33018261194229126
2656,12.87,2,216,0.7476799999999998,1.87,925,0.0001,413,0.3215356767177582
2698,12.89,2,220,0.74369,1.89,940,0.0001,424,1.1966016292572021
2752,12.83,2,224,0.7385600000000001,1.83,958,0.0001,437,0.9106382131576538
2829,13.03,2,228,0.7312449999999997,2.03,982,0.0001,457,0.6506635546684265
2861,12.99,2,232,0.7282049999999998,1.99,995,0.0001,465,0.3350833058357239
2916,13.02,2,236,0.7229800000000004,2.02,1014,0.0001,478,0.8907561898231506
2948,13.02,2,240,0.7199400000000005,2.02,1026,0.0001,486,0.2850138247013092
3011,13.27,2,244,0.7139550000000003,2.27,1047,0.0001,502,0.9175288081169128
3080,13.65,2,248,0.7073999999999996,2.65,1069,0.0001,519,1.0024399757385254
3143,13.72,2,252,0.7014150000000005,2.72,1090,0.0001,535,0.30859220027923584
3200,13.92,2,256,0.6959999999999997,2.92,1109,0.0001,549,0.5626325011253357
3247,13.56,2,260,0.691535,2.56,1126,0.0001,561,0.22826941311359406
3324,13.75,2,264,0.6842199999999996,2.75,1150,0.0001,580,1.1177313327789307
3364,13.56,2,268,0.68042,2.56,1165,0.0001,590,1.5057594776153564
3424,13.66,2,272,0.6747199999999995,2.66,1185,0.0001,605,0.19459746778011322
3483,13.94,2,276,0.6691149999999997,2.94,1204,0.0001,620,0.04584447294473648
3533,13.67,2,280,0.6643650000000003,2.67,1221,0.0001,633,0.8551427125930786
3597,13.95,2,284,0.6582849999999995,2.95,1242,0.0001,649,0.4453876316547394
3655,13.81,2,288,0.6527750000000003,2.81,1262,0.0001,663,1.4692270755767822
3713,14.04,2,292,0.6472650000000001,3.04,1281,0.0001,678,0.5898255705833435
3749,13.8,2,296,0.6438449999999998,2.8,1295,0.0001,687,0.1185225173830986
3830,13.73,2,300,0.63615,2.73,1320,0.0001,707,0.4465580880641937
3908,14.15,2,304,0.6287400000000001,3.15,1344,0.0001,726,0.4961807131767273
3962,13.96,2,308,0.6236100000000002,2.96,1362,0.0001,740,0.3171083629131317
4021,14.23,2,312,0.6180050000000004,3.23,1382,0.0001,755,0.22853752970695496
4118,14.62,2,316,0.60879,3.62,1411,0.0001,779,0.174919992685318
4181,14.83,2,320,0.6028049999999999,3.83,1431,0.0001,795,0.7064610719680786
4247,14.95,2,324,0.5965349999999999,3.95,1453,0.0001,811,0.06238461658358574
4315,14.86,2,328,0.5900749999999998,3.86,1475,0.0001,828,0.03030531480908394
4369,15.08,2,332,0.5849449999999999,4.08,1493,0.0001,842,1.5011640787124634
4428,15.12,2,336,0.5793400000000002,4.12,1513,0.0001,856,0.9013451337814331
4463,15.15,2,340,0.5760150000000005,4.15,1526,0.0001,865,0.3346627354621887
4522,15.11,2,344,0.5704099999999996,4.11,1545,0.0001,880,0.7305207848548889
4558,14.78,2,348,0.5669900000000004,3.78,1559,0.0001,889,0.5717812180519104
4613,14.7,2,352,0.5617650000000001,3.7,1577,0.0001,903,0.04834192246198654
4682,14.82,2,356,0.5552100000000003,3.82,1599,0.0001,920,0.2913324534893036
4749,15.02,2,360,0.5488449999999997,4.02,1621,0.0001,937,0.9004300236701965
4794,14.7,2,364,0.5445700000000002,3.7,1636,0.0001,948,0.35426610708236694
4855,14.91,2,368,0.5387750000000002,3.91,1656,0.0001,963,0.24744939804077148
4906,14.82,2,372,0.5339300000000001,3.82,1674,0.0001,976,0.737720251083374
4953,14.7,2,376,0.5294650000000004,3.7,1690,0.0001,988,0.398652583360672
4985,14.52,2,380,0.5264250000000006,3.52,1703,0.0001,996,0.05870708078145981
5052,14.55,2,384,0.52006,3.55,1724,0.0001,1012,0.32945406436920166
5114,14.59,2,388,0.5141700000000005,3.59,1744,0.0001,1028,0.026392968371510506
5209,14.96,2,392,0.5051450000000004,3.96,1773,0.0001,1052,0.6693258881568909
5265,15.16,2,396,0.4998250000000003,4.16,1791,0.0001,1066,0.1822679340839386
5348,15.18,2,400,0.4919400000000004,4.18,1816,0.0001,1086,0.08482431620359421
5429,15.21,2,404,0.4842450000000006,4.21,1841,0.0001,1107,0.757588803768158
