2025-03-14 18:43:39,274 [INFO] Episode: 5, Total Reward: 7, Epsilon: 0.9801495006250001
2025-03-14 18:43:39,812 [INFO] Episode: 5, Total Reward: 8, Epsilon: 0.9801495006250001
2025-03-14 18:43:40,364 [INFO] Episode: 5, Total Reward: 9, Epsilon: 0.9801495006250001
2025-03-14 18:43:40,894 [INFO] Episode: 5, Total Reward: 10, Epsilon: 0.9801495006250001
2025-03-14 18:43:41,430 [INFO] Episode: 5, Total Reward: 11, Epsilon: 0.9801495006250001
2025-03-14 18:43:41,941 [INFO] Episode: 5, Total Reward: 12, Epsilon: 0.9801495006250001
2025-03-14 18:43:42,454 [INFO] Episode: 5, Total Reward: 13, Epsilon: 0.9801495006250001
2025-03-14 18:43:42,962 [INFO] Episode: 5, Total Reward: 14, Epsilon: 0.9801495006250001
2025-03-14 18:43:43,494 [INFO] Episode: 5, Total Reward: 15, Epsilon: 0.9801495006250001
2025-03-14 18:43:43,972 [INFO] Episode: 5, Total Reward: 16, Epsilon: 0.9801495006250001
2025-03-14 18:43:44,488 [INFO] Episode: 5, Total Reward: 17, Epsilon: 0.9801495006250001
2025-03-14 18:43:44,987 [INFO] Episode: 5, Total Reward: 18, Epsilon: 0.9801495006250001
2025-03-14 18:43:45,391 [INFO] Episode: 5, Total Reward: 19, Epsilon: 0.9801495006250001
2025-03-14 18:43:45,687 [INFO] Episode: 5, Total Reward: 20, Epsilon: 0.9801495006250001
2025-03-14 18:43:46,116 [INFO] Episode: 5, Total Reward: 21, Epsilon: 0.9801495006250001
2025-03-14 18:43:46,552 [INFO] Episode: 5, Total Reward: 22, Epsilon: 0.9801495006250001
2025-03-14 18:43:47,068 [INFO] Episode: 5, Total Reward: 23, Epsilon: 0.9801495006250001
2025-03-14 18:43:47,584 [INFO] Episode: 5, Total Reward: 24, Epsilon: 0.9801495006250001
2025-03-14 18:43:48,081 [INFO] Episode: 5, Total Reward: 25, Epsilon: 0.9801495006250001
2025-03-14 18:43:48,668 [INFO] Episode: 5, Total Reward: 26, Epsilon: 0.9801495006250001
2025-03-14 18:43:49,156 [INFO] Episode: 5, Total Reward: 27, Epsilon: 0.9801495006250001
2025-03-14 18:43:49,647 [INFO] Episode: 5, Total Reward: 28, Epsilon: 0.9801495006250001
2025-03-14 18:43:50,122 [INFO] Episode: 5, Total Reward: 29, Epsilon: 0.9801495006250001
2025-03-14 18:43:50,629 [INFO] Episode: 5, Total Reward: 30, Epsilon: 0.9801495006250001
2025-03-14 18:43:51,120 [INFO] Episode: 5, Total Reward: 31, Epsilon: 0.9801495006250001
2025-03-14 18:43:51,631 [INFO] Episode: 5, Total Reward: 32, Epsilon: 0.9801495006250001
2025-03-14 18:43:52,112 [INFO] Episode: 5, Total Reward: 33, Epsilon: 0.9801495006250001
2025-03-14 18:43:52,606 [INFO] Episode: 5, Total Reward: 34, Epsilon: 0.9801495006250001
2025-03-14 18:43:53,079 [INFO] Episode: 5, Total Reward: 35, Epsilon: 0.9801495006250001
2025-03-14 18:43:53,589 [INFO] Episode: 5, Total Reward: 36, Epsilon: 0.9801495006250001
2025-03-14 18:43:54,100 [INFO] Episode: 5, Total Reward: 37, Epsilon: 0.9801495006250001
2025-03-14 18:43:54,609 [INFO] Episode: 5, Total Reward: 38, Epsilon: 0.9801495006250001
2025-03-14 18:43:55,093 [INFO] Episode: 5, Total Reward: 39, Epsilon: 0.9801495006250001
2025-03-14 18:43:55,577 [INFO] Episode: 5, Total Reward: 40, Epsilon: 0.9801495006250001
2025-03-14 18:43:56,129 [INFO] Episode: 5, Total Reward: 41, Epsilon: 0.9801495006250001
2025-03-14 18:43:56,595 [INFO] Episode: 5, Total Reward: 42, Epsilon: 0.9801495006250001
2025-03-14 18:43:57,052 [INFO] Episode: 5, Total Reward: 43, Epsilon: 0.9801495006250001
2025-03-14 18:43:57,511 [INFO] Episode: 5, Total Reward: 44, Epsilon: 0.9801495006250001
2025-03-14 18:43:57,954 [INFO] Episode: 5, Total Reward: 45, Epsilon: 0.9801495006250001
2025-03-14 18:43:58,418 [INFO] Episode: 5, Total Reward: 46, Epsilon: 0.9801495006250001
